"","ilog","rname","rtype","day","cdst","tim","lat","lon","zoom","ext","nt"
"a20110827","802","r143","Mission","20110827","2822","1491","38.86359485","-94.6317864","14","45.6","no notes"
"a20110829","806","r143","Mission","20110829","2834","1695","38.86369445","-94.6315207","14","51.6","no notes"
"a20110831","807","r143x","Mission","20110831","5057","3011","38.8682686","-94.6316445","13","49.6","no notes"
"a20110903","808","r143x","Mission","20110903","1822","938","38.86133365","-94.6317238","15","45.6","no notes"
"a20110905","811","Leawood5K","Timed5K","20110905","5135","2478","38.9272926","-94.62350615","14","40.1","no notes"
"a20110908","812","nobrake1","Mission","20110908","1639","915","38.86070895","-94.6323239","15","49.7","no notes"
"a20110910","813","mediumx","Mission","20110910","4085","2104","38.8607152","-94.62831565","14","43.4","no notes"
"a20110913","814","bigx","Mission","20110913","5042","2770","38.85995125","-94.6292125","14","45.8","no notes"
"b20110915","816","iLan","nearby","20110915","4573","2233","38.90661385","-94.6406648","14","40.9","no notes"
"a20110918","819","pavilions","nearby","20110918","3788","2461","38.8581617","-94.63441285","16","55","no notes"
"a20110924","820","short","Mission","20110924","3628","2157","38.86088965","-94.6285156","15","50.5","no notes"
"a20111001","821","short","Mission","20111001","3466","1922","38.86083035","-94.62865855","15","47.2","no notes"
"a20111003","823","flat","Mission","20111003","1823","855","38.8579221","-94.6318568","15","41.5","no notes"
"a20111005","824","flatx","Mission","20111005","1993","847","38.85776305","-94.63232595","15","37.4","no notes"
"a20111006","825","Augusta","outside","20111006","1748","1067","33.47840645","-81.96394275","15","54.2","no notes"
"a20111009","827","Louisburg-1","outside","20111009","6451","3509","38.5133231","-94.6796195","14","44.6","no notes"
"a20111013","828","flatx","Mission","20111013","1667","753","38.85776235","-94.63180815","15","40.2","no notes"
"a20111016","829","Louisburg-2","outside","20111016","4205","2290","38.64397165","-94.6962833","16","45.9","no notes"
"a20111020","833","big","Mission","20111020","4838","2514","38.86094115","-94.62719125","15","43.4","no notes"
"a20111022","834","Streaks5K","Timed5K","20111022","4910","2291","38.8746551","-94.69351295","14","38.9","no notes"
"a20111027","836","r143","Mission","20111027","2810","1397","38.8635707","-94.63168065","14","42.9","no notes"
"b20111029","838","Branson","outside","20111029","2728","1665","36.60928775","-93.3104115","15","52.7","no notes"
"b20111101","840","Pavilions","nearby","20111101","1206","572","38.85737885","-94.63367065","16","43","no notes"
"c20111101","841","Pavilions","nearby","20111101","1006","486","38.8584121","-94.63648715","16","44.3","no notes"
"d20111101","842","Pavilions","nearby","20111101","547","253","38.85737085","-94.6344533","17","44","no notes"
"a20111103","843","flatx","Mission","20111103","1077","429","38.8585537","-94.63173245","16","36.4","no notes"
"b20111103","844","flatx","Mission","20111103","1051","451","38.85856265","-94.6306606","16","39.3","no notes"
"a20111105","845","doublex","Mission","20111105","7779","3766","38.86199875","-94.62709045","14","39.3","no notes"
"a20111108","846","churchx","Mission","20111108","4241","1972","38.86392165","-94.6398997","14","39.1","no notes"
"b20111110","849","medium","Mission","20111110","3941","1894","38.860845","-94.62715455","15","40.6","no notes"
"b20111112","852","doublex","Mission","20111112","8203","4229","38.86580535","-94.62714645","14","41.7","no notes"
"a20111117","855","mediumx","Mission","20111117","3650","1581","38.86085895","-94.62715035","15","36.8","no notes"
"a20111119","856","churchx","Mission","20111119","5064","2229","38.86685815","-94.6396719","14","36.7","no notes"
"a20111124","859","ward5K","Timed5K","20111124","5147","2308","38.9688755","-94.6019944","14","37.3","no notes"
"a20111126","861","flat","Mission","20111126","1783","903","38.857945","-94.6316037","15","44.9","no notes"
"a20111129","862","flatx","Mission","20111129","2666","1230","38.85790155","-94.63180825","15","39.9","no notes"
"a20111201","863","r151x","Mission","20111201","2013","964","38.8567512","-94.63176725","16","42.1","no notes"
"a20111203","864","doublex","Mission","20111203","8523","4348","38.86281005","-94.6275695","14","41.2","no notes"
"a20111206","865","r143","Mission","20111206","2812","1562","38.8635879","-94.6316372","14","47.9","no notes"
"b20111210","867","churchx","Mission","20111210","6182","2869","38.86864795","-94.6397476","13","38.2","no notes"
"a20111213","869","steeple1","Mission","20111213","5113","2381","38.8637815","-94.6283747","14","38.8","no notes"
"b20111217","872","shortx","Mission","20111217","2286","1066","38.86082865","-94.6299132","15","40.7","no notes"
"b20111220","875","r143x","Mission","20111220","2481","1031","38.86424075","-94.6317182","14","36.1","no notes"
"a20111222","876","flat","Mission","20111222","1819","868","38.85794995","-94.63181505","15","42.3","no notes"
"b20111224","878","r143x","Mission","20111224","2751","1204","38.86492975","-94.63170285","14","37.8","no notes"
"b20111226","881","r151","Mission","20111226","1260","503","38.85675595","-94.6317719","16","36.1","no notes"
"b20111228","883","iLan","Mission","20111228","2297","968","38.9035689","-94.64432065","15","36.8","no notes"
"a20111230","886","heritage","Mission","20111230","1340","900","38.8385386","-94.7585749","16","60.6","no notes"
"b20120102","888","short","Mission","20120102","3512","1889","38.86082985","-94.62855245","15","45.8","no notes"
"a20120105","889","mediumx","Mission","20120105","3010","1280","38.86079585","-94.62719905","15","36.5","no notes"
"a20120109","891","r143x","Mission","20120109","2078","926","38.8636381","-94.63168225","14","39.1","no notes"
"a20120111","893","flatx","Mission","20120111","2069","810","38.85785","-94.63174215","15","34.4","no notes"
"a20120115","894","short","Mission","20120115","3545","1733","38.86073665","-94.628589","15","41.6","no notes"
"a20120121","899","r143","Mission","20120121","2769","1350","38.86356165","-94.6317109","14","42.1","no notes"
"a20120218","900","Orlando","outside","20120218","2584","1481","28.4137425","-81.46573235","15","49.7","no notes"
