"ymd","dst","tim"
20121226,1.3,22
20121230,1.5,23
20130101,1.5,23
20130103,1.6,23
20130105,1.6,23
20130109,1.6,23
20130114,1.6,22
20130119,1.2,15.5
20130130,1.5,22
20130214,1.6,22
20130218,1.6,22
20130223,1.6,24
20130302,1.6,24
20130324,1.6,24
20130502,1.6,22
20130525,1.6,24
20130530,1.6,22
20130605,1.6,22
20130610,0.5,10
20130612,1.6,22
20130612,0.4,9
20130630,0.3,7
20130702,0.3,8
20130711,1.5,22
20130818,1.7,24
20130820,1.1,18
20130823,1.3,20
20130827,1.1,18
20130828,1.8,25
20130903,0.4,10
20130905,1.8,24
20130908,0.5,12
20130910,1.8,24
20130913,0.5,12
20130914,0.3,10
20131017,1.9,26
20131201,0.4,10
20131205,1.5,22
20131207,1.5,21
20131209,1.5,21
20131211,1.5,21
20131215,2.3,31
20131217,0.4,10
20131223,2.3,31
20131226,2.6,34
20131227,0.4,10
20131228,1.3,22
20131230,1.2,20
20140104,1.2,20
20131230,1.2,20
20140104,1.2,20
20140106,1.2,20
20140109,1.5,22
20141115,0.7,14
20141117,1.2,20
20141115,0.7,14
20141117,1.2,20
