"","file_name","cen_x","cen_y","zoom"
"1","../r04/Track 002",38.8825028,-94.63989945,13
"2","../r04/Track 003",38.8606315,-94.6285167,16
"3","../r04/Track 004",41.87013455,-87.6183642,14
"4","../r04/Track 005",41.87795725,-87.61779115,15
"5","../r04/Track 006",41.86980005,-87.61322965,15
"6","../r04/Track 007",38.86056755,-94.6271423,16
"7","../r04/Track 008",38.8639617,-94.6397359,15
"8","../r04/Track 009",38.8606023,-94.62831055,16
"9","../r04/Track 010",38.86373955,-94.63889195,15
"10","../r04/Track 011",38.86369955,-94.63973485,15
"11","../r04/Track 012",38.860771,-94.6272845,16
"12","../r03/Track 001",38.5088826,-94.67983315,16
"13","../r03/Track 002",38.8608506,-94.62718245,16
"14","../r03/Track 003",38.8687914,-94.6397584,15
"15","../r03/Track 004",38.86082095,-94.6285714,16
"16","../r03/Track 005",38.86085115,-94.6271506,16
"17","../r03/Track 006",38.9212713,-94.6443555,16
"18","../r03/Track 007",38.8590103,-94.63172855,16
"19","../r03/Track 008",38.85797615,-94.6316982,16
"20","../r03/Track 009",38.64405505,-94.6960647,17
"21","../r03/Track 010",38.8590741,-94.63169045,16
"22","../r03/Track 011",38.85794425,-94.63177865,16
"23","../r03/Track 012",38.86868635,-94.63975555,15
"24","../r03/Track 013",38.85904905,-94.63172015,16
"25","../r03/Track 014",38.8636698,-94.6316254,15
"26","../r03/Track 015",38.8608006,-94.6285529,16
"27","../r03/Track 016",38.85905175,-94.631739,16
"28","../r03/Track 017",38.8567605,-94.6317679,17
"29","../r03/Track 018",38.8567955,-94.63181525,17
"30","../r03/Track 019",38.8608338,-94.6271685,16
"31","../r03/Track 020",38.8638227,-94.6285343,15
"32","../r03/Track 021",38.9195252,-94.6567388,15
"33","../r03/Track 022",38.8636536,-94.63163945,15
"34","../r03/Track 023",38.8608303,-94.62716045,16
"35","../r03/Track 024",38.8636947,-94.6316668,15
"36","../r03/Track 025",38.8687311,-94.6397145,15
"37","../r03/Track 026",38.8608247,-94.6285178,16
"38","../r03/Track 027",38.86092295,-94.6272197,16
"39","../r03/Track 028",38.8637974,-94.62717395,15
"40","../r03/Track 029",38.857957,-94.6317531,16
"41","../r03/Track 030",38.8567662,-94.63161395,17
"42","../r03/Track 031",38.85907295,-94.63178515,16
"43","../r03/Track 032",38.86370855,-94.63173245,15
"44","../r03/Track 033",38.8589535,-94.6316907,16
"45","../r03/Track 034",38.8578736,-94.6317816,16
"46","../r03/Track 035",38.8677881,-94.6397229,14
"47","../r03/Track 036",38.85678135,-94.6317662,17
"48","../r03/Track 037",38.8636151,-94.63162995,15
"49","../r03/Track 038",38.85790785,-94.63173655,16
"50","../r03/Track 039",38.8590917,-94.6317526,16
"51","../r03/Track 040",38.8608814,-94.62719575,16
"52","../r03/Track 041",38.86089475,-94.62852855,16
"53","../r03/Track 042",38.86085295,-94.6271899,16
"54","../r03/Track 043",38.86364645,-94.63161245,15
"55","../r03/Track 044",38.8590215,-94.6317322,16
"56","../r03/Track 045",38.8578894,-94.6317713,16
"57","../r03/Track 046",38.8625681,-94.6271617,16
"58","../r03/Track 047",38.85683595,-94.63147495,17
"59","../r03/Track 048",38.8636231,-94.6316533,15
"60","../r03/Track 049",38.86880465,-94.639684,15
"61","../r03/Track 050",38.85683265,-94.6317068,17
"62","../r03/Track 051",38.8579143,-94.6317163,16
"63","../r03/Track 052",38.86367755,-94.63164225,15
"64","../r03/Track 053",38.8608566,-94.6284928,16
"65","../r03/Track 054",38.856796,-94.6316561,17
"66","../r03/Track 055",38.85677825,-94.63179145,17
"67","../r03/Track 056",38.8608804,-94.6271891,16
"68","../r03/Track 057",38.88649995,-94.62251985,16
"69","../r03/Track 058",38.88650425,-94.62263095,16
"70","../r03/Track 059",38.8578825,-94.63175225,16
"71","../r03/Track 060",19.99226295,-155.8260029,17
"72","../r03/Track 061",19.9922817,-155.8259487,17
"73","../r03/Track 062",19.9922426,-155.8260798,17
"74","../r03/Track 063",19.99220025,-155.8259989,17
"75","../r03/Track 064",38.85902925,-94.63175395,16
"76","../r03/Track 065",38.86261225,-94.6269725,16
"77","../r03/Track 066",38.86365075,-94.6317018,15
"78","../r03/Track 067",38.86089945,-94.62715715,16
"79","../r03/Track 068",38.8608787,-94.6285108,16
"80","../r03/Track 069",38.86089885,-94.62713265,16
"81","../r03/Track 070",38.85905365,-94.6317144,16
"82","../r03/Track 071",38.8687897,-94.63981615,15
"83","../r03/Track 072",38.85804625,-94.63179125,16
"84","../r03/Track 073",38.8608892,-94.62709025,16
"85","../r03/Track 074",38.9202682,-94.6308395,15
"86","../r03/Track 075",38.86374855,-94.6316745,15
"87","../r03/Track 076",38.85681205,-94.63174425,17
"88","../r03/Track 077",38.86779255,-94.63976845,14
"89","../r03/Track 078",38.86084535,-94.62854765,16
"90","../r03/Track 079",38.857922,-94.6317396,16
"91","../r03/Track 080",38.8568078,-94.6317615,17
"92","../r03/Track 081",38.85897685,-94.6318224,16
"93","../r03/Track 082",38.8568035,-94.63179555,17
"94","../r03/Track 083",38.8578693,-94.6317843,16
"95","../r03/Track 084",38.8636478,-94.6317617,15
"96","../r03/Track 085",38.86088725,-94.62718455,16
"97","../r03/Track 086",38.8606289,-94.6317455,17
"98","../r03/Track 087",38.8609428,-94.6285211,16
"99","../r03/Track 088",38.86363895,-94.6315948,15
"100","../r03/Track 089",38.8569222,-94.6316953,17
"101","../r03/Track 090",38.86090525,-94.62849775,16
"102","../r03/Track 091",38.86257695,-94.62714725,16
"103","../r03/Track 092",38.86063625,-94.6317832,17
"104","../r03/Track 093",38.85679145,-94.6315768,17
"105","../r03/Track 094",38.8608525,-94.6271942,16
"106","../r03/Track 095",38.86364755,-94.6316542,15
"107","../r03/Track 096",38.8637664,-94.6270979,15
"108","../r03/Track 098",38.86081215,-94.62842565,16
"109","../r03/Track 099",38.8590098,-94.6317839,16
"110","../r03/Track 100",38.86087625,-94.62712155,16
"111","../r03/Track 101",38.85791605,-94.63169525,16
"112","../r03/Track 102",38.8636033,-94.6316627,15
"113","../r03/Track 103",38.8607113,-94.63179935,17
"114","../r03/Track 104",38.85686395,-94.631792,17
"115","../r03/Track 105",38.8579787,-94.6317857,16
"116","../r03/Track 106",45.5081907,-73.56672565,17
"117","../r03/Track 107",45.50807155,-73.5666883,17
"118","../r03/Track 108",38.8568431,-94.6317035,17
"119","../r03/Track 109",38.85788415,-94.6317187,16
"120","../r03/Track 110",38.86088565,-94.6285687,16
"121","../r03/Track 111",38.8606844,-94.6316442,17
"122","../r03/Track 112",38.8577786,-94.6314973,16
"123","../r03/Track 113",38.86387465,-94.62711805,15
"124","../r03/Track 114",38.8567758,-94.63173535,17
"125","../r03/Track 115",38.85790815,-94.6317073,16
"126","../r03/Track 116",38.86459045,-94.65217365,16
"127","../r03/Track 117",38.92724835,-94.62352325,16
"128","../r03/Track 118",38.86516285,-94.6432849,16
"129","../r03/Track 119",38.86296535,-94.6516099,16
"130","../r03/Track 120",38.862854,-94.6516427,16
"131","../r03/Track 121",38.865138,-94.6434282,16
"132","../r03/Track 122",38.86288605,-94.6516658,16
"133","../r03/Track 123",38.8628575,-94.65165925,16
"134","../r03/Track 125",38.6413334,-93.37656055,16
"135","../r03/Track 126",38.8630647,-94.65674515,15
"136","../r03/Track 127",38.86466955,-94.6521208,16
"137","../r03/Track 128",38.8624887,-94.64730365,17
"138","../r03/Track 129",38.86456605,-94.6522216,16
"139","../r03/Track 130",38.860867,-94.6285058,16
"140","../r03/Track 131",44.9673121,-93.22880675,15
"141","../r03/Track 132",38.8608079,-94.62707555,16
"142","../r03/Track 133",38.85793305,-94.6317675,16
"143","../r03/Track 134",38.85902575,-94.6315807,16
"144","../r03/Track 135",38.8636106,-94.63160095,15
"145","../r03/Track 136",38.8608749,-94.6269903,16
"146","../r03/Track 137",40.7611662,-73.978303,15
"147","../r03/Track 138",38.86087265,-94.62848585,16
"148","../r03/Track 139",38.86824595,-94.6316379,15
"149","../r03/Track 140",38.8567967,-94.6317363,17
"150","../r03/Track 141",38.85793355,-94.63179245,16
"151","../r03/Track 142",38.8579424,-94.6317714,16
"152","../r03/Track 143",38.85911255,-94.63177575,16
"153","../r03/Track 144",38.91968495,-94.65722285,15
"154","../r03/Track 145",38.86362195,-94.6316754,15
"155","../r03/Track 146",38.8608217,-94.62718985,16
"156","../r03/Track 147",38.86094035,-94.6285788,16
"157","../r03/Track 148",38.85796585,-94.6317231,16
"158","../r03/Track 149",38.86084255,-94.6271738,16
"159","../r03/Track 150",38.8625932,-94.6271696,16
"160","../r03/Track 151",38.86067215,-94.6317736,17
"161","../r03/Track 152",38.86360135,-94.63169365,15
"162","../r03/Track 153",38.85790845,-94.63178145,16
"163","../r03/Track 154",38.8608214,-94.62719505,16
"164","../r03/Track 155",38.96315065,-94.6245066,16
"165","../r03/Track 156",38.8607353,-94.63178495,17
"166","../r03/Track 157",38.8590849,-94.63182615,16
"167","../r03/Track 158",38.8608855,-94.6285539,16
"168","../r03/Track 159",38.85670435,-94.6317943,17
"169","../r03/Track 160",38.99086015,-77.0958833,15
"170","../r03/Track 161",38.86069005,-94.6318332,17
"171","../r03/Track 162",38.86088425,-94.62715795,16
"172","../r03/Track 163",38.8578646,-94.63176105,16
"173","../r03/Track 164",38.8568044,-94.63174555,17
"174","../r03/Track 165",38.8606609,-94.63183045,17
"175","../r03/Track 166",38.8579432,-94.63177315,16
"176","../r03/Track 167",38.86087675,-94.6271766,16
"177","../r03/Track 168",38.86086485,-94.6285926,16
"178","../r03/Track 169",38.86083845,-94.627156,16
"179","../r03/Track 170",38.86365675,-94.63167885,15
"180","../r03/Track 171",28.36804745,-81.5570931,16
"181","../r03/Track 172",28.36817355,-81.5570931,16
"182","../r03/Track 173",28.36461605,-81.55612335,16
"183","../r03/Track 174",26.09192315,-77.53937715,16
"184","../r03/Track 175",38.8567867,-94.6317405,17
"185","../r03/Track 176",38.8687329,-94.63981325,15
"186","../r03/Track 177",38.8608863,-94.62850215,16
"187","../r03/Track 178",38.85790475,-94.63166385,16
"188","../r03/Track 179",38.8681648,-94.6316216,15
"189","../r03/Track 180",38.8608639,-94.62714945,16
"190","../r03/Track 181",38.8590254,-94.631744,16
"191","../r03/Track 182",38.86382055,-94.6224998,15
"192","../r03/Track 183",38.8608445,-94.6285384,16
"193","../r03/Track 184",38.85317735,-94.63164985,15
"194","../r03/Track 185",38.8638064,-94.6225162,15
"195","../r03/Track 186",38.8568709,-94.6317033,17
"196","../r03/Track 187",38.8578951,-94.6316908,16
"197","../r03/Track 188",38.8636491,-94.63166865,15
"198","../r03/Track 189",38.8608646,-94.6285426,16
"199","../r03/Track 190",38.8590853,-94.6317118,16
"200","../r03/Track 191",38.86257205,-94.62716215,16
"201","../r03/Track 192",25.7748021,-80.18652485,16
"202","../r03/Track 193",41.8826913,-87.622427,17
"203","../r03/Track 194",38.86088635,-94.6271102,16
"204","../r03/Track 195",38.8579171,-94.6317853,16
"205","../r03/Track 196",38.85679385,-94.63172575,17
"206","../r03/Track 197",38.8589989,-94.63173305,16
"207","../r03/Track 198",38.8608786,-94.6271526,16
"208","../r03/Track 199",38.8567828,-94.63167725,17
"209","../r03/Track 200",38.8608522,-94.6284972,16
"210","../r03/Track 201",38.85680165,-94.63183435,17
"211","../r03/Track 202",38.8379372,-94.65767275,18
"212","../r03/Track 203",38.8637161,-94.63163005,15
"213","../r03/Track 204",38.8578974,-94.63154785,16
"214","../r03/Track 205",38.8567277,-94.63178605,17
"215","../r03/Track 206",38.8609034,-94.62717305,16
"216","../r03/Track 207",38.85683285,-94.6317148,17
"217","../r03/Track 208",38.86063345,-94.63180415,17
"218","../r03/Track 209",39.4994799,-76.6622931,16
"219","../r03/Track 210",38.85907575,-94.63176285,16
"220","../r03/Track 211",38.86081995,-94.62718595,16
"221","../r03/Track 212",38.85337335,-94.63180475,15
"222","../r03/Track 213",38.9688239,-94.603507,15
"223","../r03/Track 214",38.8579235,-94.63180125,16
"224","../r03/Track 215",38.8636021,-94.63159515,15
"225","../r03/Track 216",38.8567945,-94.63176455,17
"226","../r03/Track 217",38.86084955,-94.62714895,16
"227","../r03/Track 218",38.8608611,-94.62857835,16
"228","../r03/Track 219",38.86356865,-94.63165285,15
"229","../r03/Track 220",38.8681922,-94.63165935,15
"230","../r03/Track 221",38.857836,-94.63168905,16
"231","../r03/Track 222",38.85677705,-94.63171515,17
"232","../r03/Track 223",38.8608648,-94.62858005,16
"233","../r03/Track 224",38.8579006,-94.63171565,16
"234","../r03/Track 225",38.85901035,-94.63188035,16
"235","../r03/Track 226",42.34709795,-71.03349245,15
"236","../r03/Track 227",42.35415605,-71.0603409,15
"237","../r03/Track 228",42.3545582,-71.047078,16
"238","../r03/Track 229",38.85792945,-94.63177615,16
"239","../r03/Track 230",38.8590823,-94.6318458,16
"240","../r03/Track 231",38.86362795,-94.63161165,15
"241","../r03/Track 232",38.8567895,-94.63176915,17
"242","../r03/Track 233",38.8579609,-94.6317098,16
"243","../r03/Track 234",38.86084335,-94.6272032,16
"244","../r03/Track 235",38.92726485,-94.6234986,16
"245","../r03/Track 236",38.8608551,-94.62849105,16
"246","../r03/Track 237",38.8687742,-94.63967775,15
"247","../r03/Track 238",38.8608227,-94.62856085,16
"248","../r03/Track 239",38.8608344,-94.62719885,16
"249","../r03/Track 240",38.8579648,-94.6317473,16
"250","../r03/Track 241",39.038285,-94.58304245,14
"251","../r03/Track 242",38.86077735,-94.62846955,16
